symbol	max_min_score	Q75.25_score	cor	p.value	fdr	TSGene
EP300	0.729475154	0.3012038284	-0.1608444187	0.0100398087	0.1661196721	
SLC16A2	0.7283775847	0.2983686831	-0.1598927914	0.0103729136	0.1704225882	
KISS1R	0.7281485985	0.297777186	-0.1596942531	0.0104977043	0.1712667428	
TCF3	0.7278484179	0.2970017858	-0.1594339871	0.0106037952	0.1714908382	
RAB7A	0.7273071833	0.2956037157	-0.1589647195	0.0107974285	0.1714908382	
IL21R	0.7271040308	0.2950789498	-0.1587885798	0.0108708948	0.1714908382	
PLA2G6	0.7267932378	0.2942761365	-0.1585191125	0.0109841245	0.1714908382	
CTDSP1	0.726728047	0.2941077415	-0.15846259	0.0110080041	0.1714908382	
TPK1	0.7265931174	0.293759203	-0.1583456018	0.0110575722	0.1714908382	
CSNK1D	0.7265309588	0.2935986403	-0.1582917083	0.0110804717	0.1714908382	
AKT3	0.7264794126	0.2934654908	-0.1582470161	0.0110994927	0.1714908382	
RYR2	0.7261852963	0.2927057552	-0.157992008	0.0112085654	0.1720367312	
MYCL1	0.7257987001	0.2917071337	-0.1576568169	0.0113533428	0.173119926	
BCL2L2	0.725269594	0.2903403929	-0.1571980651	0.0115541065	0.175037211	
RGL4	0.7245994939	0.2886094489	-0.1566170671	0.0118127631	0.1778011379	
NCOA3	0.7239445545	0.2869176666	-0.1560492139	0.0120703805	0.1783980319	
PLG	0.7239354581	0.2868941696	-0.1560413271	0.0120739924	0.1783980319	
TNFRSF17	0.7239157493	0.2868432595	-0.1560242389	0.0120818213	0.1783980319	
MDM4	0.7211428693	0.2796805978	-0.1536200641	0.013227817	0.1940911762	
MS4A2	0.719942147	0.2765789968	-0.1525789999	0.0137523253	0.1994953522	
TXNRD1	0.7199087936	0.2764928413	-0.1525500815	0.013767146	0.1994953522	
ALKBH2	0.7192220169	0.2747188195	-0.1519546243	0.0140753787	0.2020696	
FOLH1	0.7191280209	0.2744760174	-0.1518731269	0.0141180218	0.2020696	
PFN2	0.7187262641	0.2734382343	-0.151524791	0.0143015365	0.2034480774	
BIRC6	0.7180834532	0.2717777813	-0.1509674536	0.014599409	0.2064267958	
PDE6G	0.7152893483	0.2645602932	-0.1485448762	0.0159566329	0.2242579798	
SACS	0.7149800713	0.263761396	-0.1482767233	0.0161132731	0.2251033897	
PPAT	0.7146435053	0.2628920079	-0.1479849098	0.0162852214	0.2261513182	
ICK	0.714040112	0.2613333751	-0.1474617488	0.0165974026	0.229122724	
TLE1	0.7136444194	0.2603112566	-0.1471186708	0.0168048777	0.2305380881	
PSMB5	0.7133928086	0.2596613174	-0.1469005162	0.0168975624	0.2305380881	
DBN1	0.7129667391	0.2585607319	-0.1465311005	0.0171653332	0.2328297808	
KAT6B	0.712725685	0.257938062	-0.146322099	0.0172951232	0.2332342335	
CYP3A4	0.7122344804	0.2566692252	-0.1458962091	0.0175621825	0.2354745508	
HDAC4	0.711937332	0.2559016573	-0.145638572	0.0177254301	0.2363053047	
SLC28A1	0.711173236	0.2539279113	-0.1449760766	0.018151132	0.2406056306	
ALDH7A1	0.7109609871	0.2533796485	-0.1447920501	0.0182709091	0.240825034	
ADAMTS5	0.7104364292	0.2520246562	-0.1443372417	0.0185698057	0.243008987	
CYP24A1	0.7102272124	0.2514842257	-0.1441558442	0.0186901683	0.243008987	
SCN1B	0.7098375841	0.2504777719	-0.1438180241	0.0189160822	0.243008987	
CSF2RA	0.7097178151	0.250168395	-0.1437141806	0.018985989	0.243008987	
NDST1	0.7096571726	0.2500117485	-0.1436616016	0.0190214681	0.243008987	
PTK2	0.7094646325	0.2495143958	-0.1434946632	0.0191344861	0.243008987	
PDXP	0.7094115703	0.2493773301	-0.1434486566	0.0191657324	0.243008987	
CDO1	0.7088203055	0.2478500266	-0.1429360114	0.0195168332	0.246123091	
ATP10A	0.7086217012	0.2473370093	-0.1427638151	0.0196359794	0.2462943002	
CD44	0.707683258	0.2449129045	-0.1419501551	0.0202073075	0.2508812029	
GANC	0.7074649448	0.2443489771	-0.1417608707	0.0203422087	0.2508812029	
ALDH3B2	0.7072815011	0.2438751214	-0.1416018192	0.0204561494	0.2508812029	
SERPINE1	0.7071526358	0.2435422476	-0.1414900889	0.0205365115	0.2508812029	
FANCG	0.7071480876	0.2435304991	-0.1414861454	0.0205393527	0.2508812029	TSG
MAPK7	0.7060080078	0.2405855447	-0.1404976602	0.0212620595	0.2583561704	
TBXAS1	0.7054986105	0.239269714	-0.1400559966	0.0215918178	0.2609081038	
ATP11A	0.7053394239	0.2388585169	-0.1399179768	0.0216957446	0.2609081038	
RIPK1	0.7049316028	0.2378050691	-0.139564383	0.0219639141	0.2627785213	
RRAS2	0.7044540428	0.2365714778	-0.1391503234	0.0222814738	0.2641478365	
TCERG1L	0.7044191734	0.2364814061	-0.1391200904	0.0223048109	0.2641478365	
HNRNPH1	0.7031229391	0.2331330869	-0.1379962143	0.023187002	0.2732084626	
MAP2	0.7029000778	0.2325574109	-0.1378029865	0.0233415817	0.2736477898	
ADH1A	0.7026923771	0.2320208966	-0.1376229034	0.0234864214	0.2739691054	
NFE2L1	0.7022527187	0.2308852094	-0.1372417057	0.0237954977	0.2761935135	
PRKAA1	0.7018630904	0.2298787556	-0.1369038856	0.0240722384	0.2780224361	
SEMA3C	0.7015962632	0.2291895109	-0.136672538	0.0242633044	0.2788487153	
PPP1CA	0.7012885023	0.2283945299	-0.1364056996	0.0244852529	0.2791340351	TSG
TLR4	0.7011990546	0.2281634763	-0.1363281455	0.0245500771	0.2791340351	
CTNNB1	0.7010626089	0.2278110216	-0.1362098428	0.0246492372	0.2791340351	
STAT6	0.7007624283	0.2270356214	-0.1359495767	0.0248685662	0.2791340351	
PRKCI	0.7007381713	0.2269729628	-0.1359285451	0.0248863606	0.2791340351	TSG
SLC18A1	0.7002939647	0.2258255271	-0.135543404	0.0252141028	0.2806794072	
CAMK4	0.7002257418	0.2256492998	-0.1354842526	0.0252647559	0.2806794072	
PGF	0.6997345373	0.224380463	-0.1350583627	0.0256319663	0.2834093712	
PPBP	0.6994836799	0.2237324701	-0.1348408614	0.0257925697	0.2838399293	
MC4R	0.6992312042	0.223080297	-0.134621957	0.0260128421	0.2849200028	
EN2	0.698652068	0.2215843228	-0.1341198275	0.0264568915	0.2884295699	
MAP3K8	0.6982988252	0.2206718569	-0.1338135549	0.0267308183	0.2900604609	
EPHX1	0.6972982233	0.2180871894	-0.1329460014	0.0275195599	0.2963484375	
CHRNB1	0.697242129	0.2179422914	-0.1328973658	0.0275643425	0.2963484375	
OXSR1	0.6967251513	0.2166068799	-0.1324491298	0.0279799188	0.2994364709	
STK19	0.6964947097	0.2160116232	-0.1322493296	0.0281668261	0.3000602985	
NRP2	0.6958943486	0.2144608227	-0.1317287975	0.028658628	0.3039117232	
BMPR1A	0.6955077524	0.2134622012	-0.1313936064	0.0289790616	0.3052947652	
CACNA2D1	0.6952697304	0.2128473636	-0.1311872338	0.0291778168	0.3052947652	
RLBP1	0.6952651822	0.2128356152	-0.1311832904	0.0291816257	0.3052947652	
CAMKV	0.6943297711	0.2104193427	-0.1303722593	0.029973745	0.3097944845	
LMNA	0.694279741	0.2102901093	-0.1303288816	0.0300166059	0.3097944845	
ARPC5	0.6941963575	0.2100747204	-0.1302565855	0.0300881532	0.3097944845	
OR2L13	0.6941326828	0.2099102415	-0.1302013776	0.0301428838	0.3097944845	
LEP	0.693392893	0.207999281	-0.1295599563	0.0307640485	0.3147917774	
SDHC	0.6923134067	0.2052108462	-0.1286240076	0.0317416178	0.3233763944	
GABRA6	0.6917812684	0.2038362731	-0.1281626268	0.0322222029	0.3249013315	
IL4	0.6917630757	0.2037892791	-0.1281468531	0.0322387382	0.3249013315	
IL12A	0.6916857564	0.2035895548	-0.1280798149	0.0323090908	0.3249013315	
MYBL2	0.691532634	0.2031940224	-0.1279470529	0.0324487884	0.3249056798	
TWF2	0.6907169919	0.2010871268	-0.1272398654	0.0332012939	0.3309168074	
MAPK10	0.690575998	0.2007229237	-0.1271176192	0.0333328117	0.3309168074	
SERPINB3	0.6902257873	0.19981829	-0.1268139755	0.0336613318	0.3325114962	
FER	0.6897012294	0.1984632977	-0.1263591671	0.0341583535	0.3325114962	
TGFB2	0.6896648439	0.1983693098	-0.1263276197	0.0341930503	0.3325114962	
ERG	0.6896557953	0.1983459365	-0.1263197744	0.0341866255	0.3325114962	
AK8	0.6896511993	0.1983340644	-0.1263157895	0.034206069	0.3325114962	
MMP15	0.6884444128	0.1952167988	-0.1252694674	0.0353736318	0.3424343691	
STK3	0.6881502965	0.1944570632	-0.1250144592	0.0356630606	0.3438095888	
RHPN2	0.687924403	0.1938735549	-0.1248186025	0.0358866621	0.3445414921	
KAT6A	0.6873058491	0.1922757605	-0.1242822967	0.0365047906	0.3471990534	
CXCR1	0.6872391423	0.1921034494	-0.1242244598	0.036571966	0.3471990534	
MELK	0.6870799557	0.1916922523	-0.1240864399	0.0367326772	0.3471990534	
POLA2	0.6870541826	0.1916256775	-0.1240640938	0.036758751	0.3471990534	
CHRNB4	0.6863173758	0.1897224224	-0.123425259	0.0375105451	0.3528713777	
FST	0.6861672855	0.1893347223	-0.1232951259	0.0376652088	0.3529033417	
HIF1A	0.6856821452	0.1880815502	-0.1228744939	0.0381686763	0.3561900875	
TCN1	0.6853630603	0.1872573179	-0.1225978372	0.0384950454	0.3578045454	
CFLAR	0.68484073	0.1859080798	-0.1221449603	0.0390548105	0.3615669558	
UBE2D2	0.6843298166	0.184588333	-0.1217019822	0.0396009561	0.3651740338	
SLC6A3	0.6841205998	0.1840479025	-0.1215205847	0.0398263755	0.3653770007	
TPSAB1	0.6840190236	0.1837855196	-0.1214325149	0.0399361917	0.3653770007	
FOXO4	0.6836672968	0.1828769698	-0.1211275567	0.040318343	0.3667688887	TSG
FPGS	0.6835899776	0.1826772455	-0.1210605184	0.0404027451	0.3667688887	
CHI3L1	0.6834065339	0.1822033898	-0.120901467	0.0406035642	0.3671632374	
USP6	0.6830654197	0.1813222532	-0.1206057101	0.0409791297	0.3691286082	
RB1	0.6826560825	0.1802648893	-0.1202508018	0.0414335015	0.371785996	TSG
DAO	0.6824938637	0.1798458598	-0.120110153	0.0416146869	0.3719810905	
PHGDH	0.6818631813	0.1782167361	-0.1195633314	0.0423251821	0.3765086481	
FGFR3	0.681758573	0.1779465209	-0.1194726326	0.0424439668	0.3765086481	
CACNG1	0.680612429	0.1749859018	-0.1184788895	0.0437630733	0.386739583	
DCLK1	0.6803304412	0.1742574955	-0.1182343972	0.0440926063	0.3875459309	
HMMR	0.6801636742	0.1738267176	-0.1180898049	0.0442884258	0.3875459309	
SPEN	0.6801090959	0.1736857358	-0.1180424838	0.0443526633	0.3875459309	
STK32A	0.6795967556	0.172362303	-0.1175982686	0.0449626954	0.39141033	
ALDH4A1	0.6789114501	0.1705920817	-0.117004087	0.0457859416	0.3970951734	
NID1	0.6787628316	0.1702081832	-0.11687523	0.0459609601	0.3971367405	
BMP2K	0.6776909747	0.1674394561	-0.1159458962	0.0472744765	0.4061349867	
SULF1	0.6776356823	0.1672966297	-0.115897956	0.0473504999	0.4061349867	
MTHFD1	0.6773165071	0.1664721639	-0.1156212209	0.0477403613	0.4066678287	
NCAN	0.6771573204	0.1660609668	-0.115483201	0.0479395137	0.4066678287	
ATP2A3	0.6769647803	0.1655636141	-0.1153162627	0.0481812764	0.4066678287	
AURKA	0.6768025615	0.1651445847	-0.1151756139	0.0483857183	0.4066678287	
HOXD11	0.6767540475	0.1650192675	-0.1151335507	0.0484469937	0.4066678287	
CACNA2D2	0.6767449511	0.1649957705	-0.1151256638	0.0484584897	0.4066678287	
CD6	0.6761961362	0.1635781196	-0.1146498239	0.0491561046	0.4109015471	
NDUFS1	0.676071819	0.1632569943	-0.1145420369	0.0493152307	0.4109015471	
ADCK1	0.6752046307	0.1610169492	-0.1137901572	0.0504366383	0.4187497406	
SUCLG2	0.6748635164	0.1601358125	-0.1134944003	0.0508832504	0.4196832181	
PDXK	0.6747452634	0.1598303518	-0.1133918713	0.0510388048	0.4196832181	
IL6R	0.6747073619	0.1597324478	-0.1133590094	0.0510887415	0.4196832181	
MAP2K6	0.6744405347	0.1590432031	-0.1131276618	0.0514413913	0.4210974245	
SLC7A1	0.6739675229	0.1578213603	-0.1127175456	0.0520712722	0.4246287152	
FKBP5	0.673764413	0.1572967047	-0.1125414429	0.0523595741	0.4246287152	
LRRK1	0.6736779548	0.1570733732	-0.1124664809	0.0524598691	0.4246287152	
POR	0.6735733464	0.156803158	-0.1123757821	0.0526008138	0.4246287152	
RASGRF1	0.6732822622	0.1560512547	-0.1121234029	0.0529945812	0.4263322686	
CLPTM1	0.6727395115	0.1546492685	-0.1116528209	0.0537349985	0.4291225091	
UCK2	0.6726530959	0.1544260472	-0.1115778958	0.0538536344	0.4291225091	
KIT	0.6726242907	0.1543516401	-0.1115529208	0.0538932255	0.4291225091	
PLCD3	0.6723180459	0.1535605752	-0.1112873968	0.05431556	0.4302668718	
NMRAL1	0.6722528551	0.1533921802	-0.1112308744	0.0544057982	0.4302668718	
ELOVL4	0.6720376162	0.1528361938	-0.1110442554	0.0547245116	0.4313252892	
NDUFA1	0.6715433374	0.151559416	-0.1106157001	0.0553955689	0.4341345013	
IFNB1	0.6715024037	0.1514536796	-0.1105802093	0.0554530996	0.4341345013	
PCSK7	0.6713219922	0.1509876563	-0.1104237867	0.0557072202	0.434665367	
LDHAL6A	0.6708247234	0.1497031549	-0.1099926389	0.0564123859	0.4387003209	
CD74	0.6703077457	0.1483677434	-0.109544403	0.0571528985	0.4412767747	
PCDH15	0.6700545631	0.1477137442	-0.1093248856	0.0575183191	0.4412767747	
CDH5	0.669931762	0.147396535	-0.1092184132	0.0576962161	0.4412767747	
NUDT9	0.6697953163	0.1470440803	-0.1091001104	0.0578943836	0.4412767747	
IGF1R	0.6697286095	0.1468717692	-0.1090422735	0.057991459	0.4412767747	
PYCRL	0.6697119328	0.1468286914	-0.1090278143	0.0580157477	0.4412767747	
SLC16A4	0.6696649348	0.1467072903	-0.1089870656	0.0580842405	0.4412767747	
TRIM24	0.6695466819	0.1464018296	-0.1088845365	0.0582568567	0.4412767747	TSG
ACSL6	0.6692889511	0.145736082	-0.1086610758	0.0586344598	0.4423136465	
SUZ12	0.6691843427	0.1454658667	-0.108570377	0.0587882663	0.4423136465	
SPARC	0.6690660898	0.145160406	-0.1084678479	0.0589625135	0.4423136465	
ALB	0.6689144834	0.1447687897	-0.1083364004	0.0591864966	0.4425420666	
ADRA1B	0.6687985456	0.1444693093	-0.1082358787	0.059385873	0.4425420666	
SERPIND1	0.6686613008	0.1441147906	-0.1081168831	0.059562027	0.4425420666	
RGS4	0.6683671845	0.143355055	-0.107861875	0.0600006007	0.4443854012	
ADRA1A	0.6678623354	0.1420509728	-0.1074241548	0.0607592687	0.4482614687	
PRKCE	0.6677637913	0.1417964222	-0.1073387139	0.0609082236	0.4482614687	
MGMT	0.6673893236	0.14082913	-0.1070140386	0.0614768428	0.4510235038	
LDLR	0.6672619742	0.1405001723	-0.1069036227	0.0616711561	0.4510307435	
PTH2R	0.6660748966	0.1374338168	-0.1058743888	0.0635054473	0.4629944014	
CDH2	0.6658732601	0.1369129672	-0.1056995636	0.0638211717	0.4638467091	
TIAM1	0.6653881198	0.1356597951	-0.1052789316	0.0645857839	0.4679460677	
NFATC1	0.663265631	0.1301771672	-0.1034386666	0.0680144121	0.4912619917	
SCYL2	0.6624681816	0.1281172656	-0.1027472527	0.0693381182	0.4992772524	
HTR3B	0.6622082156	0.127445744	-0.102521854	0.0698180823	0.4993692706	
