sig_id	type	common_name	source	source_id	method	coef	consensus
85	D1	BRD-K67518269	LINCS	BRD-K67518269	LIMMA_t	trt	1
86	D1	BRD-K91094904	LINCS	BRD-K91094904	LIMMA_t	trt	1
87	D1	BRD-K32389477	LINCS	BRD-K32389477	LIMMA_t	trt	1
88	D1	BRD-K15277331	LINCS	BRD-K15277331	LIMMA_t	trt	1
89	D1	BRD-K02117849	LINCS	BRD-K02117849	LIMMA_t	trt	1
90	D1	nimesulide	LINCS	BRD-K76775527	LIMMA_t	trt	1
91	D1	mifepristone	LINCS	BRD-K37270826	LIMMA_t	trt	0
92	D1	BRD-K37549600	LINCS	BRD-K37549600	LIMMA_t	trt	1
93	D1	flucloxacillin	LINCS	BRD-A60052764	LIMMA_t	trt	0
94	D1	iohexol	LINCS	BRD-A60217728	LIMMA_t	trt	1
95	D1	chromomycin-a3	LINCS	BRD-A11702965	LIMMA_t	trt	1
96	D1	bucladesine	LINCS	BRD-A14652656	LIMMA_t	trt	0
97	D1	BRD-K13077924	LINCS	BRD-K13077924	LIMMA_t	trt	1
98	D1	bisoprolol	LINCS	BRD-A89175223	LIMMA_t	trt	1
99	D1	BRD-K03522229	LINCS	BRD-K03522229	LIMMA_t	trt	1
100	D1	oxotremorine	LINCS	BRD-K21936341	LIMMA_t	trt	1
101	D1	BRD-A22514244	LINCS	BRD-A22514244	LIMMA_t	trt	1
102	D1	EMF-sumo1-8	LINCS	BRD-K38324426	LIMMA_t	trt	1
103	D1	BRD-K63180587	LINCS	BRD-K63180587	LIMMA_t	trt	1
104	D1	aspirin	LINCS	BRD-K11433652	LIMMA_t	trt	1
105	D1	BRD-K07381195	LINCS	BRD-K07381195	LIMMA_t	trt	1
106	D1	BRD-K05832178	LINCS	BRD-K05832178	LIMMA_t	trt	1
107	D1	urethane	LINCS	BRD-K24297741	LIMMA_t	trt	1
108	D1	KU-C103656	LINCS	BRD-K24281017	LIMMA_t	trt	1
109	D1	BRD-K25828886	LINCS	BRD-K25828886	LIMMA_t	trt	1
110	D1	BRD-K46241566	LINCS	BRD-K46241566	LIMMA_t	trt	1
111	D1	trichlormethiazide	LINCS	BRD-A28940325	LIMMA_t	trt	1
112	D1	BRD-K33586157	LINCS	BRD-K33586157	LIMMA_t	trt	1
113	D1	KU-C104224	LINCS	BRD-K19812755	LIMMA_t	trt	1
114	D1	protriptyline	LINCS	BRD-K42098891	LIMMA_t	trt	1
115	D1	psoromic-acid	LINCS	BRD-K04170657	LIMMA_t	trt	1
116	D1	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	LINCS	BRD-K48115423	LIMMA_t	trt	1
117	D1	BRD-K04540960	LINCS	BRD-K04540960	LIMMA_t	trt	1
118	D1	BRD-K69231968	LINCS	BRD-K69231968	LIMMA_t	trt	1
119	D1	meclozine	LINCS	BRD-A50311610	LIMMA_t	trt	1
120	D1	BRD-K76595177	LINCS	BRD-K76595177	LIMMA_t	trt	1
121	D1	BRD-K15219339	LINCS	BRD-K15219339	LIMMA_t	trt	1
122	D1	BRD-K21913257	LINCS	BRD-K21913257	LIMMA_t	trt	1
123	D1	SB-206553	LINCS	BRD-K36395411	LIMMA_t	trt	1
124	D1	SB-239063	LINCS	BRD-K98143437	LIMMA_t	trt	0
125	D1	RU-28318	LINCS	BRD-A92585442	LIMMA_t	trt	1
126	D1	BRD-K08317416	LINCS	BRD-K08317416	LIMMA_t	trt	1
127	D1	olmesartan	LINCS	BRD-K83144676	LIMMA_t	trt	0
128	D1	BRD-K12973880	LINCS	BRD-K12973880	LIMMA_t	trt	1
129	D1	BRD-K88672507	LINCS	BRD-K88672507	LIMMA_t	trt	1
130	D1	BRD-A00474148	LINCS	BRD-A00474148	LIMMA_t	trt	1
131	D1	BRD-K67503471	LINCS	BRD-K67503471	LIMMA_t	trt	1
132	D1	solifenacin	LINCS	BRD-A54596827	LIMMA_t	trt	1
133	D1	tranylcypromine	LINCS	BRD-K88809146	LIMMA_t	trt	0
134	D1	BRD-K67285049	LINCS	BRD-K67285049	LIMMA_t	trt	1
135	D1	cephalotaxine	LINCS	BRD-A08877921	LIMMA_t	trt	1
136	D1	BRD-K01089529	LINCS	BRD-K01089529	LIMMA_t	trt	1
137	D1	anethole	LINCS	BRD-K49060658	LIMMA_t	trt	0
138	D1	BRD-K72195772	LINCS	BRD-K72195772	LIMMA_t	trt	1
139	D1	BRD-K81793693	LINCS	BRD-K81793693	LIMMA_t	trt	1
140	D1	BRD-K63813530	LINCS	BRD-K63813530	LIMMA_t	trt	1
141	D1	BRD-K07627743	LINCS	BRD-K07627743	LIMMA_t	trt	1
142	D1	zeranol	LINCS	BRD-A24381660	LIMMA_t	trt	1
143	D1	coumaric-acid	LINCS	BRD-K96271548	LIMMA_t	trt	1
144	D1	BRD-A99702332	LINCS	BRD-A99702332	LIMMA_t	trt	1
145	D1	brivanib	LINCS	BRD-A21584801	LIMMA_t	trt	0
146	D1	tenoxicam	LINCS	BRD-A22844106	LIMMA_t	trt	1
147	D1	avrainvillamide-analog-5	LINCS	BRD-A70731303	LIMMA_t	trt	1
148	D1	puromycin	LINCS	BRD-A28970875	LIMMA_t	trt	0
149	D1	AZD-1480	LINCS	BRD-A29009894	LIMMA_t	trt	1
150	D1	BRD-K21786893	LINCS	BRD-K21786893	LIMMA_t	trt	1
151	D1	KUC103423N	LINCS	BRD-A80386041	LIMMA_t	trt	1
152	D1	floxuridine	LINCS	BRD-A80638690	LIMMA_t	trt	0
153	D1	KU-C103654	LINCS	BRD-A89047717	LIMMA_t	trt	1
154	D1	ethosuximide	LINCS	BRD-A99633051	LIMMA_t	trt	1
155	D1	ranolazine	LINCS	BRD-A97674275	LIMMA_t	trt	1
156	D1	eriodictyol	LINCS	BRD-A35033682	LIMMA_t	trt	1
157	D1	estradiol-benzoate	LINCS	BRD-A36066264	LIMMA_t	trt	1
158	D1	homosalate	LINCS	BRD-A34751532	LIMMA_t	trt	1
159	D1	anthothecol	LINCS	BRD-A37828317	LIMMA_t	trt	1
160	D1	itraconazole	LINCS	BRD-A34817987	LIMMA_t	trt	1
161	D1	dexamethasone	LINCS	BRD-A35108200	LIMMA_t	trt	0
162	D1	BRD-K91517665	LINCS	BRD-K91517665	LIMMA_t	trt	1
163	D1	mercaptopurine	LINCS	BRD-K91601245	LIMMA_t	trt	1
164	D1	BRD-K91677732	LINCS	BRD-K91677732	LIMMA_t	trt	1
165	D1	BRD-K81538844	LINCS	BRD-K81538844	LIMMA_t	trt	1
166	D1	BRD-K81933000	LINCS	BRD-K81933000	LIMMA_t	trt	1
167	D1	BRD-K82024442	LINCS	BRD-K82024442	LIMMA_t	trt	1
168	D1	BRD-K82034465	LINCS	BRD-K82034465	LIMMA_t	trt	1
169	D1	sertraline	LINCS	BRD-K82036761	LIMMA_t	trt	0
170	D1	elesclomol	LINCS	BRD-K82135108	LIMMA_t	trt	1
171	D1	BRD-K82196068	LINCS	BRD-K82196068	LIMMA_t	trt	1
172	D1	KU-C104132	LINCS	BRD-K82312777	LIMMA_t	trt	1
173	D1	BRD-K82384352	LINCS	BRD-K82384352	LIMMA_t	trt	1
174	D1	SA-1463785	LINCS	BRD-K82494270	LIMMA_t	trt	1
175	D1	prednisone	LINCS	BRD-K82624463	LIMMA_t	trt	0
176	D1	BRD-K82685933	LINCS	BRD-K82685933	LIMMA_t	trt	1
177	D1	BRD-K82735282	LINCS	BRD-K82735282	LIMMA_t	trt	1
178	D1	navitoclax	LINCS	BRD-K82746043	LIMMA_t	trt	1
179	D1	repaglinide	LINCS	BRD-K82846253	LIMMA_t	trt	1
180	D1	SA-1463810	LINCS	BRD-K84022666	LIMMA_t	trt	1
181	D1	thiazolopyrimidine	LINCS	BRD-A75517195	LIMMA_t	trt	1
182	D1	blebbistatin	LINCS	BRD-A75817871	LIMMA_t	trt	1
183	D1	myriocin	LINCS	BRD-A76279427	LIMMA_t	trt	1
184	D1	tocainide	LINCS	BRD-A92670106	LIMMA_t	trt	1
185	D1	VEGF-receptor-2-kinase-inhibitor-IV	LINCS	BRD-K61737877	LIMMA_t	trt	1
186	D1	BRD-K12968907	LINCS	BRD-K12968907	LIMMA_t	trt	1
187	D1	BRD-K86981922	LINCS	BRD-K86981922	LIMMA_t	trt	1
188	D1	BRD-K24523081	LINCS	BRD-K24523081	LIMMA_t	trt	1
189	D1	BRD-K27367875	LINCS	BRD-K27367875	LIMMA_t	trt	1
190	D1	BRD-K75669394	LINCS	BRD-K75669394	LIMMA_t	trt	1
191	D1	BRD-K42134801	LINCS	BRD-K42134801	LIMMA_t	trt	1
192	D1	BRD-K42256568	LINCS	BRD-K42256568	LIMMA_t	trt	1
193	D1	BRD-K70794677	LINCS	BRD-K70794677	LIMMA_t	trt	1
194	D1	BRD-K59840856	LINCS	BRD-K59840856	LIMMA_t	trt	1
195	D1	BRD-K79367177	LINCS	BRD-K79367177	LIMMA_t	trt	1
196	D1	nadide	LINCS	BRD-A11132253	LIMMA_t	trt	1
197	D1	BRD-K06935006	LINCS	BRD-K06935006	LIMMA_t	trt	1
198	D1	SA-1473468	LINCS	BRD-K07125273	LIMMA_t	trt	1
199	D1	idazoxan	LINCS	BRD-A18696154	LIMMA_t	trt	1
200	D1	BRD-K14631382	LINCS	BRD-K14631382	LIMMA_t	trt	1
201	D1	BRD-K09329774	LINCS	BRD-K09329774	LIMMA_t	trt	1
202	D1	BRD-K75090653	LINCS	BRD-K75090653	LIMMA_t	trt	1
203	D1	BRD-K14783598	LINCS	BRD-K14783598	LIMMA_t	trt	1
204	D1	BRD-K03727241	LINCS	BRD-K03727241	LIMMA_t	trt	1
205	D1	BRD-K98790311	LINCS	BRD-K98790311	LIMMA_t	trt	1
206	D1	BRD-K87990527	LINCS	BRD-K87990527	LIMMA_t	trt	1
207	D1	atenolol	LINCS	BRD-A20239487	LIMMA_t	trt	0
208	D1	BRD-K91180076	LINCS	BRD-K91180076	LIMMA_t	trt	1
209	D1	BRD-K46255814	LINCS	BRD-K46255814	LIMMA_t	trt	1
210	D1	BRD-K57280824	LINCS	BRD-K57280824	LIMMA_t	trt	1
211	D1	BRD-K59958061	LINCS	BRD-K59958061	LIMMA_t	trt	1
212	D1	BRD-K95901503	LINCS	BRD-K95901503	LIMMA_t	trt	1
213	D1	BRD-K96093221	LINCS	BRD-K96093221	LIMMA_t	trt	1
214	D1	BRD-K14200107	LINCS	BRD-K14200107	LIMMA_t	trt	1
215	D1	BRD-K49948755	LINCS	BRD-K49948755	LIMMA_t	trt	1
216	D1	BRD-K50733069	LINCS	BRD-K50733069	LIMMA_t	trt	1
217	D1	BRD-K40138205	LINCS	BRD-K40138205	LIMMA_t	trt	1
218	D1	PD-169316	LINCS	BRD-K77133231	LIMMA_t	trt	1
219	D1	BRD-K19888970	LINCS	BRD-K19888970	LIMMA_t	trt	1
220	D1	MW-MITF22	LINCS	BRD-K27688565	LIMMA_t	trt	1
221	D1	dihydroxyphenylglycine	LINCS	BRD-A20589515	LIMMA_t	trt	1
222	D1	LY-83583	LINCS	BRD-K62792802	LIMMA_t	trt	1
223	D1	BRD-K13559434	LINCS	BRD-K13559434	LIMMA_t	trt	1
224	D1	BRD-K13150695	LINCS	BRD-K13150695	LIMMA_t	trt	1
225	D1	BRD-K08799912	LINCS	BRD-K08799912	LIMMA_t	trt	1
226	D1	BRD-K14230553	LINCS	BRD-K14230553	LIMMA_t	trt	1
227	D1	BRD-K37323001	LINCS	BRD-K37323001	LIMMA_t	trt	1
228	D1	BRD-K30183231	LINCS	BRD-K30183231	LIMMA_t	trt	1
229	D1	BRD-A74134989	LINCS	BRD-A74134989	LIMMA_t	trt	1
230	D1	BRD-K12743465	LINCS	BRD-K12743465	LIMMA_t	trt	1
231	D1	BRD-K28001518	LINCS	BRD-K28001518	LIMMA_t	trt	1
232	D1	BRD-K12695722	LINCS	BRD-K12695722	LIMMA_t	trt	1
233	D1	BRD-K12562048	LINCS	BRD-K12562048	LIMMA_t	trt	1
234	D1	BRD-K44258506	LINCS	BRD-K44258506	LIMMA_t	trt	1
235	D1	BRD-K59472400	LINCS	BRD-K59472400	LIMMA_t	trt	1
236	D1	BRD-K12729417	LINCS	BRD-K12729417	LIMMA_t	trt	1
237	D1	BRD-K24890551	LINCS	BRD-K24890551	LIMMA_t	trt	1
238	D1	BRD-K11989341	LINCS	BRD-K11989341	LIMMA_t	trt	1
239	D1	cotinine	LINCS	BRD-K94144010	LIMMA_t	trt	1
240	D1	clorgiline	LINCS	BRD-K73251053	LIMMA_t	trt	1
241	D1	BRD-K31829694	LINCS	BRD-K31829694	LIMMA_t	trt	1
242	D1	BRD-K14340046	LINCS	BRD-K14340046	LIMMA_t	trt	1
243	D1	fenbendazole	LINCS	BRD-K51318897	LIMMA_t	trt	1
244	D1	BRD-K63784565	LINCS	BRD-K63784565	LIMMA_t	trt	1
245	D1	eudesmic-acid	LINCS	BRD-K15842202	LIMMA_t	trt	1
246	D1	flucytosine	LINCS	BRD-K82143716	LIMMA_t	trt	1
247	D1	BRD-K32188552	LINCS	BRD-K32188552	LIMMA_t	trt	1
248	D1	BRD-K79459005	LINCS	BRD-K79459005	LIMMA_t	trt	1
249	D1	BRD-K15030062	LINCS	BRD-K15030062	LIMMA_t	trt	1
250	D1	BRD-K11689127	LINCS	BRD-K11689127	LIMMA_t	trt	1
251	D1	BRD-K09068728	LINCS	BRD-K09068728	LIMMA_t	trt	1
252	D1	BRD-K11145711	LINCS	BRD-K11145711	LIMMA_t	trt	1
253	D1	bromfenac	LINCS	BRD-K47679368	LIMMA_t	trt	1
254	D1	proxymetacaine	LINCS	BRD-K79116891	LIMMA_t	trt	1
255	D1	BRD-K64790987	LINCS	BRD-K64790987	LIMMA_t	trt	1
256	D1	nifedipine	LINCS	BRD-A30977374	LIMMA_t	trt	0
257	D1	dioxane	LINCS	BRD-K42978307	LIMMA_t	trt	1
258	D1	BRD-A52771319	LINCS	BRD-A52771319	LIMMA_t	trt	1
259	D1	BRD-K04025047	LINCS	BRD-K04025047	LIMMA_t	trt	1
260	D1	fomepizole	LINCS	BRD-K56810756	LIMMA_t	trt	1
261	D1	BRD-K27449529	LINCS	BRD-K27449529	LIMMA_t	trt	1
262	D1	BRD-K72449498	LINCS	BRD-K72449498	LIMMA_t	trt	1
263	D1	BRD-K71746704	LINCS	BRD-K71746704	LIMMA_t	trt	1
264	D1	BRD-K70558234	LINCS	BRD-K70558234	LIMMA_t	trt	1
265	D1	BRD-K46849403	LINCS	BRD-K46849403	LIMMA_t	trt	1
266	D1	BRD-K52044217	LINCS	BRD-K52044217	LIMMA_t	trt	1
267	D1	BRD-K54385541	LINCS	BRD-K54385541	LIMMA_t	trt	1
268	D1	BRD-K05442673	LINCS	BRD-K05442673	LIMMA_t	trt	1
269	D1	BRD-K40087764	LINCS	BRD-K40087764	LIMMA_t	trt	1
270	D1	oxprenolol	LINCS	BRD-A43671941	LIMMA_t	trt	1
271	D1	BRD-K40829514	LINCS	BRD-K40829514	LIMMA_t	trt	1
272	D1	BRD-K10906552	LINCS	BRD-K10906552	LIMMA_t	trt	1
273	D1	BRD-K11169037	LINCS	BRD-K11169037	LIMMA_t	trt	1
274	D1	BRD-K10279202	LINCS	BRD-K10279202	LIMMA_t	trt	1
275	D1	BRD-K90805324	LINCS	BRD-K90805324	LIMMA_t	trt	1
276	D1	BRD-K91292927	LINCS	BRD-K91292927	LIMMA_t	trt	1
277	D1	BRD-K91379182	LINCS	BRD-K91379182	LIMMA_t	trt	1
278	D1	ARG-CSC-81	LINCS	BRD-K71554540	LIMMA_t	trt	1
279	D1	BRD-K60093216	LINCS	BRD-K60093216	LIMMA_t	trt	1
280	D1	BRD-K35128023	LINCS	BRD-K35128023	LIMMA_t	trt	1
281	D1	BRD-K09651570	LINCS	BRD-K09651570	LIMMA_t	trt	1
282	D1	BRD-K09325707	LINCS	BRD-K09325707	LIMMA_t	trt	1
283	D1	BRD-K02375958	LINCS	BRD-K02375958	LIMMA_t	trt	1
284	D1	ambelline	LINCS	BRD-A10969569	LIMMA_t	trt	1
285	D1	ciclopirox	LINCS	BRD-K13044802	LIMMA_t	trt	1
286	D1	BRD-K81365479	LINCS	BRD-K81365479	LIMMA_t	trt	1
287	D1	BRD-K76896099	LINCS	BRD-K76896099	LIMMA_t	trt	1
288	D1	GP-42	LINCS	BRD-A41250203	LIMMA_t	trt	1
289	D1	BRD-K00117639	LINCS	BRD-K00117639	LIMMA_t	trt	1
290	D1	BRD-K93200353	LINCS	BRD-K93200353	LIMMA_t	trt	1
291	D1	BRD-K09290524	LINCS	BRD-K09290524	LIMMA_t	trt	1
292	D1	BRD-K74840245	LINCS	BRD-K74840245	LIMMA_t	trt	1
293	D1	BRD-K47774969	LINCS	BRD-K47774969	LIMMA_t	trt	1
294	D1	BRD-K08468228	LINCS	BRD-K08468228	LIMMA_t	trt	1
295	D1	BRD-K15054362	LINCS	BRD-K15054362	LIMMA_t	trt	1
296	D1	BRD-K85861721	LINCS	BRD-K85861721	LIMMA_t	trt	1
297	D1	BRD-K64247367	LINCS	BRD-K64247367	LIMMA_t	trt	1
298	D1	Gossypetin	LINCS	BRD-K06692906	LIMMA_t	trt	1
299	D1	BRD-A37735495	LINCS	BRD-A37735495	LIMMA_t	trt	1
300	D1	BRD-K52827598	LINCS	BRD-K52827598	LIMMA_t	trt	1
301	D1	eprosartan	LINCS	BRD-K67977190	LIMMA_t	trt	1
302	D1	tiabendazole	LINCS	BRD-K77695569	LIMMA_t	trt	1
303	D1	quinpirole	LINCS	BRD-K26548821	LIMMA_t	trt	0
304	D1	paroxetine	LINCS	BRD-K37991163	LIMMA_t	trt	0
305	D1	BRD-K08008963	LINCS	BRD-K08008963	LIMMA_t	trt	1
306	D1	BRD-K16752617	LINCS	BRD-K16752617	LIMMA_t	trt	1
307	D1	fluconazole	LINCS	BRD-K05977355	LIMMA_t	trt	1
308	D1	BRD-K44791058	LINCS	BRD-K44791058	LIMMA_t	trt	1
309	D1	BRD-K78074929	LINCS	BRD-K78074929	LIMMA_t	trt	1
310	D1	BRD-K78699095	LINCS	BRD-K78699095	LIMMA_t	trt	1
311	D1	hydralazine	LINCS	BRD-A37444045	LIMMA_t	trt	0
312	D1	BRD-K57166447	LINCS	BRD-K57166447	LIMMA_t	trt	1
313	D1	W-12	LINCS	BRD-K78084463	LIMMA_t	trt	1
314	D1	iso-olomoucine	LINCS	BRD-K86509404	LIMMA_t	trt	1
315	D1	BRD-K07385663	LINCS	BRD-K07385663	LIMMA_t	trt	1
316	D1	bambuterol	LINCS	BRD-A17462676	LIMMA_t	trt	1
317	D1	BRD-K36796217	LINCS	BRD-K36796217	LIMMA_t	trt	1
318	D1	BRD-K31042955	LINCS	BRD-K31042955	LIMMA_t	trt	1
319	D1	BRD-K95337198	LINCS	BRD-K95337198	LIMMA_t	trt	1
320	D1	trihexyphenidyl	LINCS	BRD-A48180038	LIMMA_t	trt	1
321	D1	BRD-K07466598	LINCS	BRD-K07466598	LIMMA_t	trt	1
322	D1	BRD-K37393297	LINCS	BRD-K37393297	LIMMA_t	trt	1
323	D1	BRD-K67123444	LINCS	BRD-K67123444	LIMMA_t	trt	1
324	D1	BRD-K78189262	LINCS	BRD-K78189262	LIMMA_t	trt	1
325	D1	BRD-K07329815	LINCS	BRD-K07329815	LIMMA_t	trt	1
326	D1	BRD-K10006632	LINCS	BRD-K10006632	LIMMA_t	trt	1
327	D1	BRD-K38546320	LINCS	BRD-K38546320	LIMMA_t	trt	1
328	D1	BRD-K31877241	LINCS	BRD-K31877241	LIMMA_t	trt	1
329	D1	BRD-K38144109	LINCS	BRD-K38144109	LIMMA_t	trt	1
330	D1	BRD-K06992369	LINCS	BRD-K06992369	LIMMA_t	trt	1
331	D1	ARG-CSC-91	LINCS	BRD-K69181860	LIMMA_t	trt	1
332	D1	atovaquone	LINCS	BRD-A38161572	LIMMA_t	trt	0
333	D1	KU-C103874	LINCS	BRD-K77856555	LIMMA_t	trt	1
334	D1	BRD-K16782389	LINCS	BRD-K16782389	LIMMA_t	trt	1
335	D1	BRD-A27924917	LINCS	BRD-A27924917	LIMMA_t	trt	1
336	D1	physostigmine	LINCS	BRD-K25650355	LIMMA_t	trt	0
337	D1	lovastatin	LINCS	BRD-K17113870	LIMMA_t	trt	0
338	D1	BRD-K73627655	LINCS	BRD-K73627655	LIMMA_t	trt	1
339	D1	chloroform	LINCS	BRD-K88785477	LIMMA_t	trt	1
340	D1	BRD-K89427926	LINCS	BRD-K89427926	LIMMA_t	trt	1
341	D1	erbstatin-analog	LINCS	BRD-K35573744	LIMMA_t	trt	1
342	D1	heptaminol	LINCS	BRD-A32988684	LIMMA_t	trt	1
343	D1	BRD-K80362711	LINCS	BRD-K80362711	LIMMA_t	trt	1
344	D1	BRD-K80408519	LINCS	BRD-K80408519	LIMMA_t	trt	1
345	D1	BRD-K15440898	LINCS	BRD-K15440898	LIMMA_t	trt	1
346	D1	BRD-K58479490	LINCS	BRD-K58479490	LIMMA_t	trt	1
