common_name	source_id	pd_id
1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	pd_180
1D09C3	1D09C3	pd_181
1-DEAZAADENOSINE	1-DEAZAADENOSINE	pd_182
1-DEOXY-1-METHOXYCARBAMIDO-BETA-D-GLUCOPYRANOSE	1-DEOXY-1-METHOXYCARBAMIDO-BETA-D-GLUCOPYRANOSE	pd_183
1-DEOXYNOJIRIMYCIN	1-DEOXYNOJIRIMYCIN	pd_184
1D-MYO-INOSITOL 3,4,5,6-TETRAKISPHOSPHATE	1D-MYO-INOSITOL 3,4,5,6-TETRAKISPHOSPHATE	pd_185
1-DOCOSANOL	1-DOCOSANOL	pd_186
1-DODECANESULFONIC ACID	1-DODECANESULFONIC ACID	pd_187
1-DODECANOL	1-DODECANOL	pd_188
1-ETHYL-1-NITROSOUREA	1-ETHYL-1-NITROSOUREA	pd_189
ODQ	1H-[1,2,4]OXADIAZOLO[4,3-A]QUINOXALIN-1-ONE	pd_190
1H-1,2,4-TRIAZOLE	1H-1,2,4-TRIAZOLE	pd_191
1-ISOPROPYLTRYPTAMINE	1-ISOPROPYLTRYPTAMINE	pd_192
1-METHYL-2-PYRROLIDINONE	1-METHYL-2-PYRROLIDINONE	pd_193
1-METHYL-3-NAPHTHALEN-2-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	1-METHYL-3-NAPHTHALEN-2-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	pd_194
1-METHYL-3-OXO-1,3-DIHYDRO-BENZO[C]ISOTHIAZOLE-5-SULFONIC ACID AMIDE	1-METHYL-3-OXO-1,3-DIHYDRO-BENZO[C]ISOTHIAZOLE-5-SULFONIC ACID AMIDE	pd_195
1-METHYLHEPTYLFORMAMIDE	1-METHYLHEPTYLFORMAMIDE	pd_196
1-METHYLHISTAMINE	1-METHYLHISTAMINE	pd_197
1-METHYLIMIDAZOLE	1-METHYLIMIDAZOLE	pd_198
1-METHYL-L-HISTIDINE	1-METHYL-L-HISTIDINE	pd_199
(1N)-4-N-BUTOXYPHENYLSULFONYL-(2R)-N-HYDROXYCARBOXAMIDO-(4S)-METHANESULFONYLAMINO-PYRROLIDINE	(1N)-4-N-BUTOXYPHENYLSULFONYL-(2R)-N-HYDROXYCARBOXAMIDO-(4S)-METHANESULFONYLAMINO-PYRROLIDINE	pd_200
1-N-ACETYL-BETA-D-GLUCOSAMINE	1-N-ACETYL-BETA-D-GLUCOSAMINE	pd_201
1-NAPHTHYLACETIC ACID	1-NAPHTHYLACETIC ACID	pd_202
1-OCTADECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	1-OCTADECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	pd_203
1-OCTANOL	1-OCTANOL	pd_204
1-PHENYL-1H-PYRAZOLE-4-CARBOXYLIC ACID	1-PHENYL-1H-PYRAZOLE-4-CARBOXYLIC ACID	pd_205
(1-PHENYLCYCLOPENTYL)METHANAMINE	(1-PHENYLCYCLOPENTYL)METHANAMINE	pd_206
[1-PHOSPHONO-2-(PYRIDIN-2-YLAMINO)ETHYL]PHOSPHONIC ACID	[1-PHOSPHONO-2-(PYRIDIN-2-YLAMINO)ETHYL]PHOSPHONIC ACID	pd_207
1-PROPANESULFONIC ACID, 3-(2-BENZOTHIAZOLYLTHIO)-	1-PROPANESULFONIC ACID, 3-(2-BENZOTHIAZOLYLTHIO)-	pd_208
1-PROPANOL	1-PROPANOL	pd_209
(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE	(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE	pd_210
(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE	(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE	pd_211
(1S,3R)-1-AMINOCYCLOPENTANE-1,3-DICARBOXYLIC ACID	(1S,3R)-1-AMINOCYCLOPENTANE-1,3-DICARBOXYLIC ACID	pd_212
1S,3R-RSL-3	1S,3R-RSL-3	pd_213
(1S,3S,5S)-2-{(2S)-2-AMINO-2-[(1R,3S,5R,7S)-3-HYDROXYTRICYCLO[3.3.1.1~3,7~]DEC-1-YL]ACETYL}-2-AZABICYCLO[3.1.0]HEXANE-3-CARBONITRILE	(1S,3S,5S)-2-{(2S)-2-AMINO-2-[(1R,3S,5R,7S)-3-HYDROXYTRICYCLO[3.3.1.1~3,7~]DEC-1-YL]ACETYL}-2-AZABICYCLO[3.1.0]HEXANE-3-CARBONITRILE	pd_214
(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE	pd_215
1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	pd_216
2	2	pd_217
LY-341495	201943-63-7	pd_218
20312-36-1	20312-36-1	pd_219
206193-18-2	206193-18-2	pd_220
207553-42-2	207553-42-2	pd_221
VX-745	209410-46-8	pd_222
211311-95-4	211311-95-4	pd_223
2-([1,1'-BIPHENYL]-4-YL)ACETALDEHYDE	2-([1,1'-BIPHENYL]-4-YL)ACETALDEHYDE	pd_224
2-(125I)IODOMELATONIN	2-(125I)IODOMELATONIN	pd_225
PD-184352	212631-79-3	pd_226
2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	pd_227
215303-72-3	215303-72-3	pd_228
217082-60-5	217082-60-5	pd_229
217645-70-0	217645-70-0	pd_230
PD-173074	219580-11-7	pd_231
2-(1H-PYRAZOL-3-YL)-1H-BENZIMIDAZOLE	2-(1H-PYRAZOL-3-YL)-1H-BENZIMIDAZOLE	pd_232
2227-98-7	2227-98-7	pd_233
2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	pd_234
2,2,2-TRIFLUOROETHANOL	2,2,2-TRIFLUOROETHANOL	pd_235
2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE	2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE	pd_236
2,2,5,7,8-PENTAMETHYL-6-CHROMANOL	2,2,5,7,8-PENTAMETHYL-6-CHROMANOL	pd_237
2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE	2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE	pd_238
227088-94-0	227088-94-0	pd_239
2-(2-AMINOETHYL)PYRIDINE	2-(2-AMINOETHYL)PYRIDINE	pd_240
2-[(2-CHLORO-4-IODOPHENYL)AMINO]-N-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}-3,4-DIFLUOROBENZAMIDE	2-[(2-CHLORO-4-IODOPHENYL)AMINO]-N-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}-3,4-DIFLUOROBENZAMIDE	pd_241
2,2'-DITHIODIETHANOL	2,2'-DITHIODIETHANOL	pd_242
2,2'-PYRIDYLISATOGEN TOSYLATE	2,2'-PYRIDYLISATOGEN TOSYLATE	pd_243
22(R)-HYDROXYCHOLESTEROL	22(R)-HYDROXYCHOLESTEROL	pd_244
2-({[3-(3,4-DIHYDROISOQUINOLIN-2(1H)-YLSULFONYL)PHENYL]CARBONYL}AMINO)BENZOIC ACID	2-({[3-(3,4-DIHYDROISOQUINOLIN-2(1H)-YLSULFONYL)PHENYL]CARBONYL}AMINO)BENZOIC ACID	pd_245
23541-50-6	23541-50-6	pd_246
2365-40-4	2365-40-4	pd_247
2-(3-BROMOPHENYL)HISTAMINE	2-(3-BROMOPHENYL)HISTAMINE	pd_248
{2-[3-(DECYLOXY)PHENYL]-1-HYDROXY-1-PHOSPHONOETHYL}PHOSPHONIC ACID	{2-[3-(DECYLOXY)PHENYL]-1-HYDROXY-1-PHOSPHONOETHYL}PHOSPHONIC ACID	pd_249
2',3'-DEHYDRO-2',3'-DEOXY-THYMIDINE 5'-TRIPHOSPHATE	2',3'-DEHYDRO-2',3'-DEOXY-THYMIDINE 5'-TRIPHOSPHATE	pd_250
2,3-DIDEOXYADENOSINE	2,3-DIDEOXYADENOSINE	pd_251
2',3'-DIDEOXYADENOSINE	2',3'-DIDEOXYADENOSINE	pd_252
2,3-DIFLUOROBENZYL ALCOHOL	2,3-DIFLUOROBENZYL ALCOHOL	pd_253
2,3-DIHYDROXYBENZOIC ACID	2,3-DIHYDROXYBENZOIC ACID	pd_254
2,3-DIPHENYL-1H-INDOLE-7-CARBOXYLIC ACID	2,3-DIPHENYL-1H-INDOLE-7-CARBOXYLIC ACID	pd_255
2,3-DIPHENYL-N-[2-(PIPERAZIN-1-YL)ETHYL]FURO[2,3-B]PYRIDIN-4-AMINE	2,3-DIPHENYL-N-[2-(PIPERAZIN-1-YL)ETHYL]FURO[2,3-B]PYRIDIN-4-AMINE	pd_256
2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID	2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID	pd_257
2-(3-IODOPHENYL)HISTAMINE	2-(3-IODOPHENYL)HISTAMINE	pd_258
2-(3'-METHOXYPHENYL) BENZIMIDAZOLE-4-CARBOXAMIDE	2-(3'-METHOXYPHENYL) BENZIMIDAZOLE-4-CARBOXAMIDE	pd_259
2-(4-(2-(4-(2,2-DIMETHYLBUTYL)-1H-IMIDAZOL-2-YL)ETHYL)PHENYL)PYRIDINE	2-(4-(2-(4-(2,2-DIMETHYLBUTYL)-1H-IMIDAZOL-2-YL)ETHYL)PHENYL)PYRIDINE	pd_260
