A	B
benzonatate	SCN5A
bergenin	PTPN1
bisindolylmaleimide	CCND1
bisindolylmaleimide	CDK4
bisindolylmaleimide	LRRK2
bisindolylmaleimide	PDPK1
bisindolylmaleimide	PIM1
bisindolylmaleimide	PRKCA
bisindolylmaleimide	PRKCB
bisindolylmaleimide	PRKCI
bisindolylmaleimide	PRKCZ
bucladesine	PRKACA
CA-074-Me	CTSB
caffeine	ADORA1
caffeine	ADORA2A
caffeine	ADORA2B
caffeine	ATM
caffeine	ITPR1
caffeine	RYR1
caffeine	ADORA3
caffeine	ATR
caffeine	ITPR2
caffeine	ITPR3
caffeine	PDE10A
caffeine	PDE11A
caffeine	PDE1A
caffeine	PDE1B
caffeine	PDE1C
caffeine	PDE2A
caffeine	PDE3A
caffeine	PDE3B
caffeine	PDE4A
caffeine	PDE4B
caffeine	PDE4C
caffeine	PDE4D
caffeine	PDE5A
caffeine	PDE6A
caffeine	PDE6B
caffeine	PDE6C
caffeine	PDE7A
caffeine	PDE7B
caffeine	PDE8A
caffeine	PDE8B
caffeine	PDE9A
caffeine	PIK3CA
caffeine	PIK3CB
caffeine	PIK3CD
caffeine	PRKDC
caffeine	RYR2
caffeine	RYR3
candesartan	AGTR1
candesartan	AGTR2
carbamazepine	ABCB1
carbamazepine	CYP1A2
carbamazepine	CYP3A4
carbamazepine	SCN1A
carbamazepine	SCN3A
carbamazepine	SCN5A
carbinoxamine	HRH1
carvedilol	ADRB1
carvedilol	ADRB2
carvedilol	ADRA1A
carvedilol	ADRA1B
carvedilol	ADRA1D
carvedilol	ADRA2A
carvedilol	ADRA2B
carvedilol	ADRA2C
carvedilol	ADRB3
carvedilol	CYP2C19
carvedilol	CYP2E1
carvedilol	GJA1
carvedilol	HIF1A
carvedilol	KCNH2
carvedilol	NDUFC2
carvedilol	NPPB
carvedilol	RYR2
carvedilol	SELE
carvedilol	VCAM1
carvedilol	VEGFA
celecoxib	PTGS2
celecoxib	CA12
celecoxib	CASP3
celecoxib	CYP2C19
celecoxib	PDPK1
CGP-54626	GABBR1
CGP-54626	GABBR2
CGP-54626	KCTD12
CGP-54626	KCTD16
CGP-54626	KCTD8
CGP-57380	AURKB
CGP-57380	LCK
CGP-57380	MKNK1
CGP-57380	MKNK2
CGP-57380	SGK1
CGS-15943	ADORA1
CGS-15943	ADORA2A
CGS-15943	ADORA2B
CGS-15943	ADORA3
chlormadinone	PGR
chloroquine	CYP2C8
chloroquine	GSTA2
chloroquine	MRGPRX1
chloroquine	TLR9
chloroquine	TNF
chloroxine	OPRK1
chlorphenamine	HRH1
chlorphenamine	SLC6A2
chlorphenamine	SLC6A3
chlorphenamine	SLC6A4
chlorpromazine	DRD2
chlorpromazine	ADRA2A
chlorpromazine	ADRA2B
chlorpromazine	ADRA2C
chlorpromazine	DRD1
chlorpromazine	DRD3
chlorpromazine	DRD4
chlorpromazine	DRD5
chlorpromazine	HRH1
chlorpromazine	HTR1A
chlorpromazine	HTR2A
chlorpromazine	HTR2C
chlorpromazine	HTR6
chlorpromazine	HTR7
chlorpromazine	ADRA1A
chlorpromazine	ADRA1B
chlorpromazine	ADRA1D
chlorpromazine	CALM1
chlorpromazine	CHRM1
chlorpromazine	CHRM3
chlorpromazine	HRH4
chlorpromazine	HTR2B
chlorpromazine	KCNH2
chlorpromazine	KIF11
chlorpromazine	ORM1
chlorpromazine	ORM2
chlorpromazine	SMPD1
chlorpromazine	TRPC5
chlorprothixene	DRD2
chlorprothixene	CHRM1
chlorprothixene	CHRM2
chlorprothixene	CHRM3
chlorprothixene	CHRM4
chlorprothixene	CHRM5
chlorprothixene	DRD1
chlorprothixene	DRD3
chlorprothixene	HRH1
chlorprothixene	HTR2A
chlorprothixene	HTR2B
chlorprothixene	HTR2C
chlortalidone	CA7
chlortalidone	CA1
chlortalidone	CA12
chlortalidone	CA14
chlortalidone	CA4
chlortalidone	SLC12A1
cilostazol	PDE3A
cilostazol	CYP2C19
cilostazol	CYP3A5
cilostazol	PDE3B
cimetidine	HRH2
cimetidine	SLC29A4
cimetidine	SLC47A1
cimetidine	SLC47A2
cinanserin	HTR2A
cinchonine	CYP2D6
CITCO	NR1I3
clemastine	HRH1
clobetasol	NR3C1
clobetasol	PLA2G1B
clofibrate	PPARA
clofibrate	LPL
clomifene	ESR1
clomifene	AR
clonidine	ADRA2A
clonidine	ADRA2B
clonidine	ADRA2C
clonidine	ADRA1A
clonidine	ADRA1B
clonidine	ADRA1D
CMPD-1	GNRHR
CMPD-1	MAPK14
CNQX	GRIA1
CNQX	GRIA2
CNQX	GRIA3
CNQX	GRIA4
colforsin	ADCY2
colforsin	ADCY5
colforsin	GNAS
cortisone	NR3C1
coumarin	CA1
coumarin	CA12
coumarin	CA14
coumarin	CA2
coumarin	CA4
coumarin	CA6
coumarin	CA9
coumarin	CYP2A6
CV-1808	ADORA2A
CV-1808	ADORA2B
cyanopindolol	HTR1D
cycloheximide	GSK3B
cycloheximide	RPL3
cyclopentolate	CHRM1
cyclopiazonic-acid	ATP2A1
cyclosporin-a	PPIA
cyclosporin-a	ABCB11
cyclosporin-a	CAMLG
cyclosporin-a	CYP3A5
cyclosporin-a	CYP3A7
cyclosporin-a	FPR1
cyclosporin-a	PPID
cyclosporin-a	PPIF
cyclosporin-a	PPP3CA
cyclosporin-a	PPP3R2
cyclosporin-a	SLC10A1
cyclosporin-a	SLCO1B1
cyclosporin-a	SLCO1B3
calcipotriol	VDR
SA-792709	RARA
SA-792709	RARB
cisapride	HTR4
cisapride	KCNH2
cisapride	CYP2B6
cisapride	CYP2C8
cisapride	CYP3A5
cisapride	CYP3A7
cisapride	HTR2A
cisapride	HTR3A
citalopram	SLC6A4
citalopram	SLC6A2
clebopride	DRD2
clebopride	ACHE
clioquinol	OPRK1
CO-101244	GRIN2B
danazol	ESR1
danazol	GNRHR
danazol	AR
danazol	CCL2
danazol	CYP2C8
danazol	GNRHR2
danazol	PGR
danazol	TNF
daunorubicin	TOP2A
daunorubicin	TOP2B
DCPIB	SLC1A2
gedunin	HSP90AA1
deracoxib	PTGS2
desipramine	SLC6A2
desipramine	SLC6A4
desipramine	ADRA1A
desipramine	ADRA1B
desipramine	ADRA1D
desipramine	ADRA2A
desipramine	ADRA2B
desipramine	ADRA2C
desipramine	ADRB1
desipramine	ADRB2
desipramine	CHRM1
desipramine	CHRM2
desipramine	CHRM3
desipramine	CHRM4
desipramine	CHRM5
desipramine	DRD2
desipramine	HRH1
desipramine	HTR1A
desipramine	HTR2A
desipramine	HTR2C
desipramine	SMPD1
desoximetasone	NR3C1
desoximetasone	PLA2G1B
desoxypeganine	ACHE
desoxypeganine	MAOA
dexamethasone	ANXA1
dexamethasone	CYP3A4
dexamethasone	CYP3A5
dexamethasone	NOS2
dexamethasone	NR0B1
dexamethasone	NR3C1
dexamethasone	NR3C2
dextromethorphan	SIGMAR1
dextromethorphan	CHRNA2
dextromethorphan	CHRNA3
dextromethorphan	CHRNA4
dextromethorphan	CHRNA7
dextromethorphan	CHRNB2
dextromethorphan	CHRNB4
dextromethorphan	CYBA
dextromethorphan	CYBB
dextromethorphan	CYP3A5
dextromethorphan	GRIN1
dextromethorphan	GRIN3A
dextromethorphan	NCF1
dextromethorphan	NCF2
dextromethorphan	NCF4
dextromethorphan	OPRD1
dextromethorphan	OPRK1
dextromethorphan	OPRM1
dextromethorphan	PGRMC1
dextromethorphan	RAC1
dextromethorphan	RAC2
dextromethorphan	SLC6A2
dextromethorphan	SLC6A4
diclofenac	PTGS1
diclofenac	PTGS2
diclofenac	AKR1C3
diclofenac	ALOX5
diclofenac	ASIC1
diclofenac	ASIC3
diclofenac	CYP2C8
diclofenac	KCNQ2
diclofenac	KCNQ3
diclofenac	PLA2G2A
diclofenac	PPARG
diclofenac	SCN4A
dicycloverine	CHRM1
dicycloverine	CHRM2
dicycloverine	CHRM3
dienestrol	ESR1
diethylcarbamazine	ALOX5
diethylcarbamazine	PTGS1
diethylstilbestrol	ESR1
diethylstilbestrol	ESR2
diethylstilbestrol	ESRRG
diethylstilbestrol	ESRRB
diflunisal	PTGS2
diflunisal	PTGS1
digitoxin	ATP1A1
digoxin	ATP1A1
digoxin	ABCB1
digoxin	RORC
digoxin	SLCO1B3
gamma-homolinolenic-acid	PTGS1
gamma-homolinolenic-acid	PTGS2
dihydro-7-desacetyldeoxygedunin	HSP90AA1
dihydrodeoxygedunin	NTRK2
dihydroergocristine	HTR2A
dihydroergocristine	ADRA1A
dihydroergocristine	ADRB1
dihydroergocristine	DRD1
dihydroergocristine	DRD2
dihydroergocristine	DRD3
dihydroergocristine	DRD4
dihydroergocristine	DRD5
dihydroergocristine	HTR1A
dihydroergocristine	HTR3A
dihydroergocristine	HTR4
dihydroergocristine	HTR5A
dihydroergocristine	HTR6
dihydroergocristine	HTR7
dihydroergotamine	HTR1D
dihydroergotamine	HTR1B
dihydroergotamine	ADRA2A
dihydroergotamine	DRD2
dihydroergotamine	HTR1E
dihydroergotamine	HTR1F
dihydroergotamine	HTR2B
dihydroergotamine	HTR7
diltiazem	CACNA1C
diltiazem	CACNA1S
diltiazem	CACNA2D1
diltiazem	CACNG1
diltiazem	CYP3A5
diltiazem	CYP3A7
diltiazem	HTR3A
diltiazem	KCNA5
dipyridamole	ADA
dipyridamole	PDE5A
dipyridamole	PDE10A
dipyridamole	PDE4A
dipyridamole	PDE7B
dipyridamole	PDE8A
dipyridamole	PDE8B
dipyridamole	SLC29A1
disopyramide	SCN5A
disopyramide	CHRM1
disopyramide	CHRM2
disopyramide	CHRM3
disopyramide	KCND2
disopyramide	KCND3
disopyramide	KCNH2
DMBI	PDGFRB
donepezil	ACHE
donepezil	HTR2A
doxepin	HRH1
doxepin	HRH2
doxepin	SLC6A2
doxepin	SLC6A4
doxepin	ADRA1A
doxepin	ADRA1B
doxepin	ADRA1D
doxepin	ADRA2A
doxepin	ADRA2B
doxepin	ADRA2C
doxepin	CHRM1
doxepin	CHRM2
doxepin	CHRM3
doxepin	CHRM4
doxepin	CHRM5
doxepin	CYP2C19
doxepin	DRD2
doxepin	HRH4
doxepin	HTR1A
doxepin	HTR2A
doxepin	HTR2B
doxepin	HTR2C
doxepin	HTR6
doxepin	KCNH2
doxepin	SLC6A3
doxorubicin	TOP2A
doxylamine	HRH1
doxylamine	CHRM1
DPO-1	KCNA5
droperidol	DRD2
droperidol	ADRA1A
duloxetine	SLC6A2
duloxetine	SLC6A4
duloxetine	SLC6A3
duloxetine	HTR2A
duloxetine	HTR2C
duloxetine	HTR6
daidzein	ESRRA
daidzein	ESRRB
daidzein	ESRRG
daidzein	TRPC5
dephostatin	PTPN1
dephostatin	PTPN6
digitoxigenin	ATP1A1
dihydrexidine	DRD1
dihydrexidine	DRD2
dihydrexidine	DRD3
dihydrexidine	DRD4
dihydrexidine	DRD5
dilazep	SLC29A1
dilazep	CACNA1C
diphemanil	CHRM3
dipivefrine	ADRA1A
dipivefrine	ACHE
dipivefrine	ADRA2A
dipivefrine	ADRB2
dipivefrine	BCHE
dorsomorphin	ACVR1
dorsomorphin	BMPR1A
dorsomorphin	BMPR1B
dorsomorphin	EPHA2
dorsomorphin	FKBP1A
dorsomorphin	FLT1
dorsomorphin	FLT3
dorsomorphin	KDR
dorsomorphin	LCK
dorsomorphin	MKNK1
dorsomorphin	PRKAA1
dorsomorphin	RPS6KA1
dorsomorphin	SRC
E-4031	KCNH2
E-4031	KCNH1
berbamine	CALM1
icosapent	PTGS1
icosapent	PTGS2
icosapent	ACSL3
icosapent	ACSL4
icosapent	FADS1
icosapent	FFAR1
icosapent	PPARD
icosapent	PPARG
icosapent	SLC8A1
icosapent	TRPV1
EMD-386088	HTR6
emetine	RPS2
ephedrine	ACHE
ephedrine	ADRA1A
ephedrine	ADRB2
ephedrine	SLC18A2
ephedrine	SLC6A2
epicatechin	FASN
epicatechin	APP
epicatechin	BACE1
epicatechin	SLC5A1
pidorubicine	TOP2A
equilin	HSD17B1
erythromycin	CYP3A4
erythromycin	MLNR
escitalopram	SLC6A4
escitalopram	ADRA1A
escitalopram	CHRM1
escitalopram	CYP2C19
escitalopram	HRH1
escitalopram	SLC6A2
escitalopram	SLC6A3
estradiol	ESR1
estradiol	ESR2
estradiol	NR1I2
estradiol	CYP2B6
estradiol	CYP2C19
estradiol	CYP2C8
estradiol	CYP2E1
estradiol	CYP3A5
estradiol	CYP3A7
estradiol	GPER1
estradiol	KCNMA1
estradiol-benzoate	ESR1
estradiol-cypionate	ESR1
estriol	ESR1
estriol	ESR2
estrone	ESR1
estrone	ESR2
estropipate	ESR1
estropipate	ESR2
etacrynic-acid	SLC12A1
etacrynic-acid	ATP1A1
etacrynic-acid	SLC12A2
ethinyl-estradiol	CYP2C8
ethinyl-estradiol	ESR1
ethinyl-estradiol	ESR2
ethinyl-estradiol	NR1I2
ethoprop	ACHE
profenamine	CHRM1
profenamine	BCHE
profenamine	CHRM2
profenamine	GRIN3A
etodolac	PTGS2
etodolac	PTGS1
etodolac	RXRA
etodolac	TRPV1
etomidate	GABRA1
etomidate	ADRA2B
etomidate	GABRA2
etomidate	GABRA3
etomidate	GABRA4
etomidate	GABRA5
etomidate	GABRA6
etomidate	GABRB1
etomidate	GABRB2
etomidate	GABRB3
etomidate	GABRD
etomidate	GABRE
etomidate	GABRG1
etomidate	GABRG2
etomidate	GABRG3
etomidate	GABRP
etomidate	GABRQ
eugenol	AR
eugenol	MAOA
exemestane	CYP19A1
ezetimibe	NPC1L1
ezetimibe	ANPEP
ezetimibe	SOAT1
vinburnine	CHRM1
vinburnine	CHRM2
vinburnine	CHRM3
vinburnine	CHRM4
eliprodil	GRIN1
eliprodil	GRIN2B
etazolate	GABRB3
etazolate	PDE4A
ethotoin	SCN5A
eticlopride	DRD2
eticlopride	DRD3
eticlopride	DRD4
etilefrine	ADRA1A
etilefrine	ADRB1
etoposide	TOP2A
etoposide	CYP2E1
etoposide	CYP3A5
etoposide	TOP2B
fenbufen	PTGS1
fenbufen	PTGS2
fenoterol	ADRB2
fenoterol	ADRB1
fenoterol	ADRB3
fexofenadine	HRH1
FGIN-1-27	TSPO
FGIN-1-43	TSPO
fludrocortisone	NR3C2
fludrocortisone	AR
fludrocortisone	NR3C1
flunarizine	CACNA1G
flunarizine	CACNA1H
flunarizine	CACNA1I
flunarizine	CALM1
flunarizine	CYP2J2
flunarizine	HRH1
fluocinolone	NR3C1
fluocinolone	SERPINA6
fluocinonide	NR3C1
fluocinonide	SERPINA6
fluocinonide	SMO
fluorometholone	NR3C1
flutamide	AR
flutamide	AHR
flutamide	CYP2C19
fluvastatin	HMGCR
fluvastatin	CYP2C8
flecainide	SCN5A
flecainide	KCNA5
flecainide	KCNA7
flecainide	SCN4A
fluoxetine	SLC6A4
fluoxetine	ANO1
fluoxetine	CYP2C19
fluoxetine	HTR2B
fluspirilene	DRD2
fluspirilene	HTR2A
fluspirilene	CACNG1
fluspirilene	HRH1
fluspirilene	HTR1A
fluspirilene	HTR1D
fluspirilene	HTR1E
forskolin	ADCY2
forskolin	ADCY5
forskolin	GNAS
gemfibrozil	PPARA
gemfibrozil	CYP2C8
gemfibrozil	LPL
gemfibrozil	SLCO1B1
gemfibrozil	SLCO1B3
gemfibrozil	SLCO2B1
gitoxigenin	ATP1A1
ilomastat	ACAN
ilomastat	ADAM28
ilomastat	MMP1
ilomastat	MMP12
ilomastat	MMP13
ilomastat	MMP14
ilomastat	MMP2
ilomastat	MMP3
ilomastat	MMP8
ilomastat	MMP9
GR-113808	HTR4
GSK-3-inhibitor-II	GSK3B
guanabenz	ADRA2A
guanabenz	ADRA2B
guanabenz	ADRA2C
guanfacine	ADRA2A
guanfacine	ADRA2B
guanfacine	ADRA2C
guanfacine	CYP3A5
guanfacine	HCN1
guanfacine	HCN2
guanfacine	HCN3
guanfacine	HCN4
GW-1929	INS
GW-1929	PPARG
GW-3965	NR1H2
GW-3965	NR1H3
GW-3965	ABCA1
GW-4064	NR1H4
GW-5074	LRRK1
GW-5074	LRRK2
GW-5074	NTRK1
GW-5074	RAF1
GW-7647	PPARA
galantamine	ACHE
galantamine	BCHE
galantamine	CHRNA1
galantamine	CHRNA10
galantamine	CHRNA2
galantamine	CHRNA3
galantamine	CHRNA4
galantamine	CHRNA5
galantamine	CHRNA6
galantamine	CHRNA7
galantamine	CHRNA9
galantamine	CHRNB1
galantamine	CHRNB2
galantamine	CHRNB3
galantamine	CHRNB4
galantamine	CHRND
galantamine	CHRNE
galantamine	CHRNG
gelsemine	GLRA3
glycocholic-acid	FABP6
hydroxyfasudil	ROCK1
hydroxyfasudil	PKIA
hydroxyfasudil	PRKACA
hydroxyfasudil	ROCK2
haloperidol	DRD2
haloperidol	DRD1
haloperidol	DRD3
haloperidol	HTR2A
haloperidol	CYP3A7
haloperidol	DRD4
haloperidol	DRD5
haloperidol	GRIN2B
haloperidol	HRH1
haloperidol	HTR1A
haloperidol	HTR1D
haloperidol	HTR2B
haloperidol	HTR7
haloperidol	KCNH1
hexylresorcinol	TYR
homatropine	CES1
homatropine	CHRM1
HTMT	HRH4
hydrocortisone	ANXA1
hydrocortisone	NOS2
hydrocortisone	NR3C1
hydrocortisone	NR3C2
hyoscyamine	CHRM1
hyoscyamine	CHRM2
hyoscyamine	CHRM3
hyoscyamine	CHRM4
helveticoside	ATP1A1
homochlorcyclizine	HRH1
huperzine-a	ACHE
velnacrine	ACHE
hymecromone	MAOA
IB-MECA	ADORA3
IB-MECA	ADORA1
IB-MECA	ADORA2A
IB-MECA	ADORA2B
ibuprofen	PTGS2
ibuprofen	PTGS1
ibuprofen	ASIC1
ibuprofen	BCL2
ibuprofen	CFTR
ibuprofen	CYP2C8
ibuprofen	FABP2
ibuprofen	PLAT
ibuprofen	PPARG
ibuprofen	SLC5A8
ibuprofen	THBD
icariin	NMUR2
icariin	PDE5A
icariin	SORD
ICI-204448	OPRK1
imipramine	SLC6A2
imipramine	SLC6A4
imipramine	CHRM2
imipramine	ADRA1A
imipramine	ADRA1B
imipramine	ADRA1D
imipramine	CHRM1
imipramine	CHRM3
imipramine	CHRM4
imipramine	CHRM5
imipramine	CYP2C19
imipramine	DRD1
imipramine	DRD2
imipramine	DRD5
imipramine	HRH1
imipramine	HTR1A
imipramine	HTR2A
imipramine	HTR2C
imipramine	HTR6
imipramine	HTR7
imipramine	KCND2
imipramine	KCND3
imipramine	KCNH1
imipramine	KCNH2
imipramine	SLC6A3
INCA-6	NFATC1
indapamide	KCNQ1
indapamide	CA7
indapamide	KCNE1
indapamide	SLC12A3
indirubin	CDK1
indirubin	CDK5
indirubin	CCNE1
indirubin	CDK2
indirubin	CDK4
indirubin	CDK5R1
indirubin	CDK9
indirubin	GSK3A
indirubin	GSK3B
indirubin	LCK
indirubin	LRRK1
indirubin	LRRK2
indometacin	PTGS1
indometacin	PTGS2
indometacin	PPARG
indometacin	PTGDR2
indometacin	GLO1
indometacin	PLA2G2A
indometacin	PPARA
indometacin	PTGR2
indometacin	SLC46A1
indoprofen	PTGS1
indoprofen	PTGS2
indoprofen	CXCR1
indoprofen	CXCR2
irbesartan	AGTR1
irbesartan	JUN
irbesartan	SLC10A1
isoxicam	PTGS1
isoxicam	PTGS2
isoxsuprine	ADRB2
icilin	TRPA1
icilin	TRPM8
imiloxan	ADRA2B
immethridine	HRH3
ipratropium	CHRM1
ipratropium	CHRM2
ipratropium	CHRM3
ipratropium	CHRM4
ipratropium	CHRM5
ipsapirone	HTR1A
isradipine	CACNA1C
isradipine	CACNA1D
isradipine	CACNA2D1
isradipine	CACNA1F
isradipine	CACNA1H
isradipine	CACNA1S
isradipine	CACNA2D2
isradipine	CACNB2
ketorolac	PTGS1
ketorolac	PTGS2
ketotifen	HRH1
ketotifen	PDE4A
ketotifen	PDE4B
ketotifen	PDE4C
ketotifen	PDE4D
ketotifen	PDE7A
ketotifen	PDE7B
ketotifen	PDE8A
ketotifen	PDE8B
ketotifen	PGD
kawain	MTOR
KI-8751	KDR
L-161982	PTGER4
L-755507	ADRB3
L-755507	ADRB1
L-755507	ADRB2
L-168049	GCGR
L-655708	GABRA5
L-655708	GABRA1
L-655708	GABRA2
L-655708	GABRA3
L-655708	GABRG2
L-701324	GRIN1
L-701324	GRIN2A
L-701324	GRIN2B
L-701324	GRIN2C
L-701324	GRIN2D
L-741742	DRD4
L-741742	DRD3
L-741742	SCN1A
L-741742	SCN3A
l-stepholidine	DRD2
l-stepholidine	DRD1
labetalol	ADRB1
labetalol	ADRB2
labetalol	ADRA1A
labetalol	ADRA1D
labetalol	ADRA1B
leu-enkephalin	OPRD1
leu-enkephalin	OPRM1
linoleic-acid	FABP4
linoleic-acid	FFAR1
linoleic-acid	FFAR4
linoleic-acid	HNF4A
linoleic-acid	KCNB1
linoleic-acid	PPARG
linoleic-acid	TRPM8
liothyronine	THRA
liothyronine	THRB
liquiritigenin	CYP19A1
lobaric-acid	PTPN1
loxapine	DRD2
loxapine	DRD3
loxapine	DRD4
loxapine	DRD1
loxapine	HRH1
loxapine	HTR2A
loxapine	HTR2C
loxapine	HTR6
loxapine	ADRA1A
loxapine	ADRA1B
loxapine	ADRA2A
loxapine	ADRA2B
loxapine	ADRA2C
loxapine	ADRB1
loxapine	CHRM1
loxapine	CHRM2
loxapine	CHRM3
loxapine	CHRM4
loxapine	CHRM5
loxapine	DRD5
loxapine	HRH2
loxapine	HRH4
loxapine	HTR1A
loxapine	HTR1B
loxapine	HTR1D
loxapine	HTR1E
loxapine	HTR3A
loxapine	HTR5A
loxapine	HTR7
loxapine	SLC6A2
loxapine	SLC6A3
loxapine	SLC6A4
lupanine	INS
LY-344864	HTR1F
LY-344864	HTR1A
LY-344864	HTR1B
LY-344864	HTR1D
LY-344864	HTR1E
LY-344864	HTR2A
LY-344864	HTR2B
LY-344864	HTR2C
LY-344864	HTR7
tomelukast	CYSLTR1
LY-294002	MTOR
LY-294002	PIK3CD
LY-294002	PIK3CG
LY-294002	PIK3CA
LY-294002	PIK3CB
LY-294002	PLK1
LY-294002	PRKDC
LY-294002	AKT1
LY-294002	CHEK1
LY-294002	GSK3B
LY-294002	LCK
LY-294002	MAPK1
